"ID","Player","Team","Position","RkOv","Status","Roster Status","FPts","Ros","+/-","Par","Bir","Eag","Bog","DBo","Alb","H1","Oth","Plc"
"*05lo8*","Ludvig Aberg","null","null","5","NT 4","Active","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*03nur*","Sam Burns","null","null","78","[AW]","Active","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*027es*","Patrick Cantlay","null","null","106","u_c","Active","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*04ece*","Wyndham Clark","null","null","63","MG","Active","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*05osh*","Eric Cole","null","null","1","MG","Active","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*030zn*","Max Homa","null","null","96","919","Reserve","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*042vf*","Collin Morikawa","null","null","124","txms","Active","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*0401u*","Xander Schauffele","null","null","49","[AW]","Active","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*03cp4*","Scottie Scheffler","null","null","27","grrr","Reserve","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*01uh8*","Jordan Spieth","null","null","134","[AW]","Active","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*04ant*","Sahith Theegala","null","null","22","grrr","Reserve","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*01rp9*","Justin Thomas","null","null","111","NT 4","Active","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*0510x*","Cameron Young","null","null","44","NT 4","Active","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*01pb5*","Jason Day","null","null","109","[AW]","Active","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*04xua*","Viktor Hovland","null","null","157","MG","Reserve","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*0452x*","Sungjae Im","null","null","75","919","Active","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*050qw*","Tom Kim","null","null","88","txms","Active","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*025ci*","Hideki Matsuyama","null","null","39","u_c","Reserve","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*01qo2*","Rory McIlroy","null","null","148","NT 8","Reserve","0","100%","0%","0","0","0","0","0","0","0","0","0"
"*01pj5*","Tony Finau","null","null","89","NT 8","Active","0","99%","0%","0","0","0","0","0","0","0","0","0"
"*01uqg*","Russell Henley","null","null","101","919","Reserve","0","99%","+0.9%","0","0","0","0","0","0","0","0","0"
"*04bz5*","Min Woo Lee","null","null","99","u_c","Active","0","99%","0%","0","0","0","0","0","0","0","0","0"
"*041js*","J.T. Poston","null","null","18","txms","Active","0","99%","-0.4%","0","0","0","0","0","0","0","0","0"
"*03oet*","Erik Van Rooyen","null","null","3","NT 4","Active","0","99%","0%","0","0","0","0","0","0","0","0","0"
"*039u6*","Tommy Fleetwood","null","null","172","u_c","Active","0","99%","0%","0","0","0","0","0","0","0","0","0"
"*02i28*","Emiliano Grillo","null","null","20","grrr","Reserve","0","99%","0%","0","0","0","0","0","0","0","0","0"
"*01z7y*","Brian Harman","null","null","77","[AW]","Active","0","99%","+0.9%","0","0","0","0","0","0","0","0","0"
"*01qha*","Luke List","null","null","2","919","Reserve","0","99%","-0.4%","0","0","0","0","0","0","0","0","0"
"*03mop*","Will Zalatoris","null","null","131","grrr","Reserve","0","99%","0%","0","0","0","0","0","0","0","0","0"
"*01szi*","Byeong Hun An","null","null","82","MG","Active","0","98%","0%","0","0","0","0","0","0","0","0","0"
"*01oz6*","Keegan Bradley","null","null","118","txms","Active","0","98%","0%","0","0","0","0","0","0","0","0","0"
"*031vh*","Matthew Fitzpatrick","null","null","113","txms","Active","0","98%","0%","0","0","0","0","0","0","0","0","0"
"*027ev*","Beau Hossler","null","null","9","919","Active","0","98%","+0.9%","0","0","0","0","0","0","0","0","0"
"*02yk2*","Si Woo Kim","null","null","32","NT 4","Active","0","98%","0%","0","0","0","0","0","0","0","0","0"
"*01q98*","Chris Kirk","null","null","55","919","Reserve","0","98%","-0.4%","0","0","0","0","0","0","0","0","0"
"*04z4l*","Akshay Bhatia","null","null","7","NT 4","Active","0","97%","+0.9%","0","0","0","0","0","0","0","0","0"
"*01qim*","Shane Lowry","null","null","116","u_c","Reserve","0","97%","+2.3%","0","0","0","0","0","0","0","0","0"
"*032pt*","Corey Conners","null","null","60","u_c","Active","0","97%","+0.1%","0","0","0","0","0","0","0","0","0"
"*049uf*","Cameron Davis","null","null","59","grrr","Reserve","0","97%","+1.4%","0","0","0","0","0","0","0","0","0"
"*01whh*","Adam Hadwin","null","null","87","txms","Active","0","97%","+0.1%","0","0","0","0","0","0","0","0","0"
"*02h6r*","Harris English","null","null","47","[AW]","Active","0","96%","+0.5%","0","0","0","0","0","0","0","0","0"
"*01pk8*","Rickie Fowler","null","null","115","NT 8","Reserve","0","96%","-0.3%","0","0","0","0","0","0","0","0","0"
"*029fh*","Tom Hoge","null","null","6","MG","Reserve","0","96%","+1%","0","0","0","0","0","0","0","0","0"
"*02ytc*","Stephan Jaeger","null","null","16","MG","Active","0","96%","-0.3%","0","0","0","0","0","0","0","0","0"
"*01rol*","Nick Taylor","null","null","28","grrr","Active","0","96%","+1.4%","0","0","0","0","0","0","0","0","0"
"*041jm*","Matthieu Pavon","null","null","93","MG","Active","0","95%","+0.2%","0","0","0","0","0","0","0","0","0"
"*03ppp*","Denny McCarthy","null","null","85","u_c","Reserve","0","93%","-0.7%","0","0","0","0","0","0","0","0","0"
"*01qwg*","Alex Noren","null","null","17","u_c","Reserve","0","92%","+0.7%","0","0","0","0","0","0","0","0","0"
"*01re1*","Adam Scott","null","null","120","NT 8","Reserve","0","92%","-1.9%","0","0","0","0","0","0","0","0","0"
"*04on9*","Nicolai Hojgaard","null","null","121","txms","Reserve","0","91%","-0.6%","0","0","0","0","0","0","0","0","0"
"*01ra6*","Justin Rose","null","null","135","919","Reserve","0","90%","+1.1%","0","0","0","0","0","0","0","0","0"
"*032pw*","Adam Svensson","null","null","19","MG","Reserve","0","90%","-4.1%","0","0","0","0","0","0","0","0","0"
