"ID","Player","Team","Position","RkOv","Status","Roster Status","FPts","Drafted","ADP","Ros","+/-","%Act","+/-","Ros","%Act"
"*04dox*","Alex Smalley","null","null","64","txms","Reserve","0","100%","66","51%","-5%","27%","-21%","56%","48%"
"*04dor*","Cameron Champ","null","null","32","NT 8","Reserve","0","0%","-","60%","-5%","38%","-20%","65%","58%"
"*031vh*","Matthew Fitzpatrick","null","null","128","txms","Active","0","100%","6","99%","0%","94%","+52%","99%","42%"
"*04fki*","Adrian Meronk","null","null","2320","grrr","Reserve","0","0%","-","15%","-1%","5%","0%","16%","5%"
"*03o6j*","Tyler Duncan","null","null","58","919","Reserve","0","0%","-","29%","-5%","16%","-13%","33%","29%"
"*01re1*","Adam Scott","null","null","125","NT 8","Active","0","100%","55","91%","-1%","21%","-23%","92%","43%"
"*041jw*","Aaron Rai","null","null","101","[AW]","Reserve","0","0%","-","65%","-11%","14%","-57%","76%","71%"
"*01qim*","Shane Lowry","null","null","161","u_c","Active","0","100%","43","93%","+6%","84%","+66%","87%","19%"
"*04on9*","Nicolai Hojgaard","null","null","115","txms","Active","0","100%","76","90%","-6%","24%","-69%","96%","93%"
"*041js*","J.T. Poston","null","null","25","txms","Active","0","100%","56","100%","+2%","94%","+46%","98%","48%"
"*01pop*","Lucas Glover","null","null","97","NT 8","Active","0","100%","41","73%","+3%","53%","+35%","70%","18%"
"*041jm*","Matthieu Pavon","null","null","93","MG","Active","0","0%","-","93%","+9%","85%","+70%","84%","15%"
"*02k0v*","Brooks Koepka","null","null","1891","grrr","Reserve","0","100%","27","77%","+1%","11%","0%","76%","11%"
"*01uql*","Andrew Putnam","null","null","81","919","Reserve","0","100%","62","64%","-1%","17%","-5%","66%","22%"
"*01q98*","Chris Kirk","null","null","75","919","Active","0","100%","59","97%","+5%","88%","+54%","93%","34%"
"*04mho*","Robert Macintyre","null","null","153","NT 4","Reserve","0","0%","-","47%","+2%","33%","-5%","45%","38%"
"*03o78*","Ryan Fox","null","null","214","txms","Reserve","0","0%","-","46%","-11%","24%","-31%","57%","55%"
"*01uqg*","Russell Henley","null","null","111","919","Active","0","100%","34","98%","+4%","89%","+59%","94%","30%"
"*03nur*","Sam Burns","null","null","99","[AW]","Active","0","100%","13","100%","0%","23%","-17%","100%","40%"
"*06al3*","Gordon Sargent","null","null","2923","NT 8","Reserve","0","100%","70","13%","-1%","3%","0%","14%","3%"
"*04dx6*","Sepp Straka","null","null","199","u_c","Reserve","0","100%","29","90%","+9%","78%","+42%","81%","36%"
"*03ppp*","Denny McCarthy","null","null","95","u_c","Reserve","0","100%","32","95%","+4%","85%","+48%","91%","37%"
"*033hd*","Justin Lower","null","null","13","919","Reserve","0","0%","-","36%","+9%","27%","+3%","27%","25%"
"*033hc*","Mark Hubbard","null","null","4","txms","Reserve","0","0%","-","90%","-3%","71%","-11%","92%","81%"
"*04pig*","kevin Yu","null","null","26","txms","Reserve","0","0%","-","30%","+1%","19%","+5%","29%","14%"
"*01oz6*","Keegan Bradley","null","null","124","txms","Active","0","100%","21","97%","0%","23%","-10%","97%","33%"
"*049uf*","Cameron Davis","null","null","59","grrr","Reserve","0","100%","53","92%","0%","21%","-12%","92%","32%"
"*04ece*","Wyndham Clark","null","null","110","MG","Active","0","100%","17","100%","0%","27%","-21%","100%","48%"
"*01pk8*","Rickie Fowler","null","null","127","NT 8","Active","0","100%","20","97%","+3%","82%","+48%","94%","34%"
"*049tv*","Kurt Kitayama","null","null","112","grrr","Active","0","100%","44","83%","+2%","21%","-11%","81%","31%"
"*0452x*","Sungjae Im","null","null","90","919","Active","0","100%","3","99%","0%","92%","+50%","99%","42%"
"*03mmu*","Jake Knapp","null","null","83","u_c","Active","0","0%","-","78%","+21%","61%","+6%","56%","55%"
"*05lo8*","Ludvig Aberg","null","null","10","NT 4","Active","0","100%","42","100%","0%","26%","-15%","100%","41%"
"*027es*","Patrick Cantlay","null","null","116","u_c","Active","0","100%","14","100%","0%","24%","-17%","100%","41%"
"*041lc*","Taylor Moore","null","null","121","NT 4","Active","0","100%","54","64%","-3%","14%","-10%","67%","23%"
"*027ev*","Beau Hossler","null","null","6","919","Reserve","0","0%","-","98%","+6%","88%","+51%","93%","37%"
"*01rud*","Camilo Villegas","null","null","60","NT 4","Reserve","0","0%","-","50%","+7%","33%","+17%","43%","16%"
"*01q9i*","Patton Kizzire","null","null","43","MG","Reserve","0","0%","-","30%","-4%","15%","-12%","34%","27%"
"*03d9w*","Kyoung-Hoon Lee","null","null","19","MG","Reserve","0","0%","-","65%","-6%","44%","-19%","72%","63%"
"*01pb5*","Jason Day","null","null","120","[AW]","Active","0","100%","33","100%","0%","23%","-18%","100%","41%"
"*05osh*","Eric Cole","null","null","1","MG","Active","0","100%","40","100%","+1%","93%","+54%","99%","39%"
"*01pyk*","Billy Horschel","null","null","139","grrr","Reserve","0","100%","39","58%","+5%","46%","+34%","53%","13%"
"*03d9y*","Maverick McNealy","null","null","55","txms","Reserve","0","0%","-","75%","0%","65%","-8%","75%","73%"
"*03lkb*","Cameron Smith","null","null","3066","919","Reserve","0","100%","12","63%","+3%","10%","0%","60%","10%"
"*042vf*","Collin Morikawa","null","null","130","txms","Active","0","100%","18","100%","0%","22%","-30%","100%","52%"
"*01pj5*","Tony Finau","null","null","86","NT 8","Reserve","0","100%","23","100%","0%","26%","-71%","100%","97%"
"*041kw*","Matt Wallace","null","null","73","u_c","Reserve","0","0%","-","33%","+1%","25%","-5%","32%","30%"
