datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Scheffler, Scottie",Scottie Scheffler,150,32993540,11300,25.389,10:10 AM,1,72,11.5,0,83.5,0.83,100,30.1253769,
"McIlroy, Rory",Rory McIlroy,150,32993541,10600,25.034,1:20 PM,0,70.1,10,0,80,0.82,100,29.78234363,
"Cantlay, Patrick",Patrick Cantlay,150,32993542,10000,24.609,11:45 AM,0,62.4,6.6,0,69.1,-0.06,100,14.87774215,
"Hovland, Viktor",Viktor Hovland,150,32993543,9900,25.081,10:20 AM,1,65.2,7.6,0,72.8,0.39,100,20.41259107,
"Schauffele, Xander",Xander Schauffele,150,32993544,9800,24.857,1:10 PM,0,64.6,7.5,0,72.1,0.37,100,16.51185955,
"Aberg, Ludvig",Ludvig Aberg,150,32993545,9500,24.818,1:30 PM,0,60.1,5.6,0,65.8,-0.15,100,19.18139708,
"Spieth, Jordan",Jordan Spieth,150,32993546,9400,24.598,1:10 PM,0,59.2,5.4,0,64.6,-0.22,100,17.32241755,
"Burns, Sam",Sam Burns,150,32993547,9300,25.313,10:10 AM,1,62.8,6.7,0,69.5,0.34,100,16.29153627,
"Homa, Max",Max Homa,150,32993548,9200,24.56,1:00 PM,0,59.5,5.6,0,65.1,-0.07,100,11.07634546,
"Morikawa, Collin",Collin Morikawa,150,32993549,9100,25.598,1:20 PM,0,63.1,6.9,0,70,0.5,100,14.01386614,
"Thomas, Justin",Justin Thomas,150,32993550,9000,25.415,11:15 AM,0,58.7,5.3,0,64,-0.08,100,13.12429597,
"Zalatoris, Will",Will Zalatoris,150,32993551,8900,25.211,8:15 AM,1,55.5,4.3,0,59.8,-0.44,100,14.98771289,
"Fleetwood, Tommy",Tommy Fleetwood,150,32993552,8800,24.732,12:40 PM,0,61.2,6.2,0,67.4,0.38,100,14.93317168,
"Young, Cameron",Cameron Young,150,32993553,8700,25.091,12:50 PM,0,60.2,5.7,0,65.8,0.26,100,18.78641924,
"Fitzpatrick, Matthew",Matthew Fitzpatrick,150,32993554,8600,24.721,11:45 AM,0,61.1,6.1,0,67.2,0.46,100,17.03958286,
"Clark, Wyndham",Wyndham Clark,150,32993555,8500,24.276,10:00 AM,1,51.9,3.4,0,55.3,-0.69,100,7.845050085,
"Matsuyama, Hideki",Hideki Matsuyama,150,32993556,8400,24.467,9:20 AM,1,54.4,4,0,58.5,-0.34,100,6.829515701,
"Kim, Tom",Tom Kim,150,32993557,8300,24.847,10:00 AM,1,58,5,0,63,0.15,100,6.479528738,
"Day, Jason",Jason Day,150,32993558,8200,25.155,8:55 AM,1,56.8,4.7,0,61.5,0.04,100,12.4125651,
